event,date,division,round,bout_no,boxer_a,country_a,boxer_b,country_b,winner,result,date_raw,date_source,page
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80 kg),Preliminaries,,ILLIUSHA PAVLO,UKR,,,ILLIUSHA PAVLO,Bye,SÁ. 7 FEB. 2026,As of line,48
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80 kg),Preliminaries,,GOMES EDMILSON,CPV,JONGJOHO WEERAPON,THA,JONGJOHO WEERAPON,WP 5:0,SÁ. 7 FEB. 2026,As of line,48
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80 kg),Preliminaries,,BEN OTHMEN RAYEN,BEL,RYSZARD GILEJ,POL,BEN OTHMEN RAYEN,WP 5:0,SÁ. 7 FEB. 2026,As of line,48
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80 kg),Preliminaries,,COY BERNAL PABLO,ESP,MONTEIRO KEVIN,CPV,COY BERNAL PABLO,ABD,SÁ. 7 FEB. 2026,As of line,48
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80 kg),Preliminaries,,MALSAWMTLUANGA,IND,ANKUSH,IND,ANKUSH,WP 4:1,SÁ. 7 FEB. 2026,As of line,48
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80 kg),Preliminaries,,ZHAKPEKOV YERASSYL,KAZ,OFORI JOSHUA,CAN,ZHAKPEKOV YERASSYL,WP 4:1,SÁ. 7 FEB. 2026,As of line,48
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80 kg),Preliminaries,,KULIIEV DZHAMAL,UKR,BEKTAS AZAMAT,KAZ,BEKTAS AZAMAT,WP 3:2,SÁ. 7 FEB. 2026,As of line,48
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80 kg),Preliminaries,,CARCAMO UMAR,CAN,,,CARCAMO UMAR,Bye,SÁ. 7 FEB. 2026,As of line,48
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80 kg),Quarterfinals,,ILLIUSHA PAVLO,UKR,JONGJOHO WEERAPON,THA,ILLIUSHA PAVLO,WP 4:1,SÁ. 7 FEB. 2026,As of line,48
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80 kg),Quarterfinals,,BEN OTHMEN RAYEN,BEL,COY BERNAL PABLO,ESP,COY BERNAL PABLO,WP 4:1,SÁ. 7 FEB. 2026,As of line,48
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 80 Kg (EM-80 kg),Quarterfinals,,ANKUSH,IND,ZHAKPEKOV YERASSYL,KAZ,ANKUSH,WP 3:2,SÁ. 7 FEB. 2026,As of line,48
